%ID	UB03		UB05		UB09		UB04		UB10		UB08	
%Material	PDMS_SGM36		PDMS-Crd'Sand mix		PDMS-Crd'Sand mix		PDMS-Crd'Sand mix		PDMS-Crd'Sand mix		PDMS-Crd'Sand mix	
%Density (g cm^-3)	0.99		1.2		1.3		1.4		1.5		1.6	
												
%Shear rate	Shear stress	Viscosity	Shear stress	Viscosity	Shear stress	Viscosity	Shear stress	Viscosity	Shear stress	Viscosity	Shear stress	Viscosity
%s^-1	Pa	Pa s	Pa	Pa s	Pa	Pa s	Pa	Pa s	Pa	Pa s	Pa	Pa s
0.0001	4.21	42100	5.13	51300	6.05	60600	7.74	77400	8.85	88600	10.7	107000
0.000147	6.32	43100	7.64	52000	9.07	61800	11.5	78700	13.2	90100	15.8	108000
0.000215	9.3	43200	11.2	52000	13.3	61700	16.9	78300	19.3	89400	23.1	107000
0.000316	13.6	42900	16.4	51800	19.3	61200	24.4	77300	28	88400	33.1	105000
0.000464	19.9	42800	24	51800	28.3	61000	35.7	77000	40.8	88000	48.1	104000
0.000681	28.9	42400	34.9	51200	40.9	60000	51.5	75500	58.9	86500	69.5	102000
0.001	42.1	42100	51	51000	59.6	59600	75	75000	85.7	85700	100	100000
0.00147	61	41500	73.6	50200	86	58600	108	73700	123	83900	144	98100
0.00215	88.2	40900	106	49400	124	57600	156	72400	177	82100	207	95900
0.00316	127	40300	153	48500	178	56400	224	70900	253	80100	295	93200
0.00464	184	39700	221	47700	257	55400	323	69500	364	78400	421	90700
0.00681	264	38700	317	46500	367	53900	458	67200	516	75700	593	87000
0.01	375	37500	449	44900	520	52000	645	64500	722	72200	829	82900
0.0147	532	36300	636	43400	733	50000	905	61700	1010	68900	1150	78600
0.0215	754	35000	900	41800	1030	48000	1260	58700	1410	65600	1590	74000
0.0316	1060	33500	1260	39700	1440	45500	1750	55500	1940	61500	2190	69100
0.0464	1470	31800	1740	37600	1990	42900	2410	51900	2650	57100	2980	64100
0.0681	2030	29800	2390	35100	2720	39900	3270	48000	3580	52600	4020	59000
0.1	2800	28000	3280	32800	3710	37100	4420	44200	4820	48200	5350	53500
